Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,992517007,03/07/2025 11:12,04/07/2025 08:08,GBPUSD,Buy,0.010,1.36761,0.00000,1.36749,1.36758,0.0000,-0.0500,0.9,0.03,0.00,"DoIt GBP Master GID=154",11111,00:20:55:52,8.0,1h 40m,88.0,16.00,5.5,0.495,-88.0,-7.92,5.9,95.1,-4.60,-0.41
,992516991,03/07/2025 11:12,04/07/2025 08:08,GBPUSD,Buy,0.010,1.36761,0.00000,1.36749,1.36758,0.0000,-0.0500,0.9,0.03,0.00,"DoIt GBP Master GID=154",11111,00:20:55:52,8.0,1h 40m,88.0,16.00,5.5,0.495,-88.0,-7.92,5.9,95.1,-4.60,-0.41
,992516977,03/07/2025 11:12,04/07/2025 08:08,GBPUSD,Buy,0.020,1.36761,0.00000,1.36749,1.36758,0.0000,-0.1000,0.9,0.05,0.00,"DoIt GBP Master GID=154",11111,00:20:55:53,8.0,1h 40m,88.0,16.00,5.5,0.935,-88.0,-14.96,5.9,95.1,-4.60,-0.78
,992516966,03/07/2025 11:12,04/07/2025 08:08,GBPUSD,Buy,0.020,1.36761,0.00000,1.36748,1.36758,0.0000,-0.1000,1.0,0.07,0.00,"DoIt GBP Master GID=154",11111,00:20:55:53,8.0,1h 40m,87.9,15.70,5.6,0.952,-87.9,-14.943000000000001,6.0,95.1,-4.60,-0.78
,990554595,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.010,1.36969,0.00000,1.37039,1.36971,0.0000,0.0000,6.8,0.58,0.04,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:00,77.8,1h 13m,61.7,0.10,68.5,6.165,-6.8,-0.612,91.0,18.1,-61.70,-5.55
,990554535,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.010,1.36969,0.00000,1.37042,1.36971,0.0000,0.0000,7.1,0.60,0.04,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:00,77.8,1h 13m,61.7,0.09,68.8,5.504,-6.5,-0.52,91.4,18.1,-61.70,-4.94
,990554409,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.010,1.36969,0.00000,1.37048,1.36971,0.0000,0.0000,7.7,0.65,0.04,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:00,83.4,1h 18m,61.7,0.09,69.4,5.5520000000000005,-5.9,-0.47200000000000003,92.2,18.1,-61.70,-4.94
,990554257,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.010,1.36969,0.00000,1.37048,1.36971,0.0000,0.0000,7.7,0.65,0.04,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:00,83.4,1h 18m,61.7,0.09,69.4,5.5520000000000005,-5.9,-0.47200000000000003,92.2,18.1,-61.70,-4.94
,990554068,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.020,1.36969,0.00000,1.37048,1.36971,0.0000,0.0000,7.7,1.31,0.09,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:01,79.0,1h 14m,61.7,0.09,69.4,11.798000000000002,-5.9,-1.0030000000000001,92.2,18.1,-61.70,-10.49
,990553692,02/07/2025 11:00,02/07/2025 12:34,GBPUSD,Sell,0.020,1.36969,0.00000,1.37049,1.36971,0.0000,0.0000,7.8,1.33,0.09,"DoIt GBP Master GID=0[sl 1.36969]",11111,00:01:34:01,79.0,1h 14m,61.7,0.08,69.5,11.815000000000001,-5.8,-0.986,92.3,18.1,-61.70,-10.49
,988688561,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.010,1.37728,0.00000,1.37680,1.37727,0.0000,0.0000,4.7,0.40,0.03,"DoIt GBP Master GID=611[sl 1.37728]",11111,00:01:00:02,51.7,31m,23.9,1.39,10.0,0.8999999999999999,-13.9,-1.251,41.8,77.8,-5.30,-0.48
,988688400,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.010,1.37728,0.00000,1.37680,1.37727,0.0000,0.0000,4.7,0.40,0.03,"DoIt GBP Master GID=611[sl 1.37728]",11111,00:01:00:03,51.7,31m,23.9,1.39,10.0,0.8999999999999999,-13.9,-1.251,41.8,77.8,-5.30,-0.48
,988688336,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.010,1.37729,0.00000,1.37680,1.37727,0.0000,0.0000,4.7,0.40,0.03,"DoIt GBP Master GID=611[sl 1.37729]",11111,00:01:00:03,51.7,31m,23.9,1.39,10.0,0.8999999999999999,-13.9,-1.251,41.8,77.8,-5.30,-0.48
,988688534,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.010,1.37728,0.00000,1.37680,1.37727,0.0000,0.0000,4.7,0.40,0.03,"DoIt GBP Master GID=611[sl 1.37728]",11111,00:01:00:02,51.7,31m,23.9,1.39,10.0,0.8999999999999999,-13.9,-1.251,41.8,77.8,-5.30,-0.48
,988688256,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.020,1.37732,0.00000,1.37680,1.37731,0.0000,0.0000,5.1,0.86,0.06,"DoIt GBP Master GID=611[sl 1.37732]",11111,00:00:59:53,51.7,30m,23.9,1.39,10.0,1.7000000000000002,-13.9,-2.3630000000000004,41.8,79.5,-4.90,-0.83
,988688208,01/07/2025 11:00,01/07/2025 12:00,GBPUSD,Buy,0.020,1.37732,0.00000,1.37681,1.37731,0.0000,0.0000,5.0,0.85,0.06,"DoIt GBP Master GID=611[sl 1.37732]",11111,00:00:59:54,51.7,30m,23.9,1.41,9.9,1.6830000000000003,-14.0,-2.3800000000000003,41.4,79.5,-4.90,-0.83
,986774828,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.010,1.36970,0.00000,1.36997,1.36971,0.0000,0.0000,2.6,0.22,0.01,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:00,57.2,1h 22m,10.5,0.81,12.9,1.032,-10.5,-0.84,55.1,56.0,-10.30,-0.82
,986774708,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.010,1.36970,0.00000,1.36997,1.36971,0.0000,0.0000,2.6,0.22,0.01,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:00,57.2,1h 22m,10.5,0.81,12.9,1.032,-10.5,-0.84,55.1,56.0,-10.30,-0.82
,986774640,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.010,1.36970,0.00000,1.36997,1.36971,0.0000,0.0000,2.6,0.22,0.01,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:00,57.2,1h 22m,10.5,0.81,12.9,1.032,-10.5,-0.84,55.1,56.0,-10.30,-0.82
,986774514,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.010,1.36970,0.00000,1.36997,1.36971,0.0000,0.0000,2.6,0.22,0.01,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:01,55.2,1h 19m,10.5,0.81,12.9,1.032,-10.5,-0.84,55.1,56.0,-10.30,-0.82
,986774346,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.020,1.36970,0.00000,1.36996,1.36971,0.0000,0.0000,2.5,0.43,0.03,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:01,55.2,1h 19m,10.6,0.83,12.8,2.176,-10.6,-1.802,54.7,56.0,-10.30,-1.75
,986773963,30/06/2025 11:00,30/06/2025 13:24,GBPUSD,Sell,0.020,1.36970,0.00000,1.37007,1.36971,0.0000,0.0000,3.6,0.61,0.04,"DoIt GBP Master GID=200[sl 1.36970]",11111,00:02:24:01,58.7,1h 24m,10.5,0.68,13.9,2.3630000000000004,-9.5,-1.6150000000000002,59.4,56.0,-10.30,-1.75
,876128547,29/06/2025 23:25,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-1350.00,0,"Transfer to 37166552 #33675754",0,00:00:00:00,,,,,,,,,,,,
,978483994,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.040,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,2.62,0.09,"DoIt GBP Master GID=212",11111,00:00:43:12,2.4,1m,0.0,0.13,7.6,2.584,0.0,0.0,100.0,100.0,0.00,0.00
,978483980,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.040,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,2.62,0.09,"DoIt GBP Master GID=212",11111,00:00:43:11,2.4,1m,0.0,0.13,7.6,2.584,0.0,0.0,100.0,100.0,0.00,0.00
,978483974,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.040,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,2.62,0.09,"DoIt GBP Master GID=212",11111,00:00:43:12,2.4,1m,0.0,0.13,7.6,2.584,0.0,0.0,100.0,100.0,0.00,0.00
,978483962,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.040,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,2.62,0.09,"DoIt GBP Master GID=212",11111,00:00:43:12,2.4,1m,0.0,0.13,7.6,2.584,0.0,0.0,100.0,100.0,0.00,0.00
,978483953,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.050,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,3.28,0.12,"DoIt GBP Master GID=212",11111,00:00:43:12,2.4,1m,0.0,0.13,7.6,3.268,0.0,0.0,100.0,100.0,0.00,0.00
,978483945,24/06/2025 11:23,24/06/2025 12:06,GBPUSD,Buy,0.050,0.00000,0.00000,1.35939,1.36015,0.0000,0.0000,7.6,3.28,0.12,"DoIt GBP Master GID=212",11111,00:00:43:12,2.4,1m,0.0,0.13,7.6,3.268,0.0,0.0,100.0,100.0,0.00,0.00
,970449406,18/06/2025 19:03,20/06/2025 03:08,GBPUSD,Buy,0.050,1.34806,0.00000,1.34758,1.34806,0.0000,-0.9700,4.8,1.11,0.04,"DoIt GBP Master GID=384",11111,01:08:04:55,11.5,3h 41m,88.1,5.61,15.7,6.7509999999999994,-88.1,-37.882999999999996,15.1,89.5,-10.90,-4.69
,970449397,18/06/2025 19:03,20/06/2025 03:08,GBPUSD,Buy,0.050,1.34806,0.00000,1.34760,1.34806,0.0000,-0.9700,4.6,1.03,0.04,"DoIt GBP Master GID=384",11111,01:08:04:56,11.0,3h 31m,88.3,5.70,15.5,6.665,-88.3,-37.969,14.9,89.5,-10.90,-4.69
,970449420,18/06/2025 19:03,20/06/2025 03:07,GBPUSD,Buy,0.050,1.34807,0.00000,1.34759,1.34807,0.0000,-0.9700,4.8,1.11,0.04,"DoIt GBP Master GID=384",11111,01:08:04:48,11.5,3h 41m,88.2,5.66,15.6,6.708,-88.2,-37.926,15.0,89.6,-10.80,-4.64
,970449415,18/06/2025 19:03,20/06/2025 03:07,GBPUSD,Buy,0.050,1.34807,0.00000,1.34759,1.34807,0.0000,-0.9700,4.8,1.11,0.04,"DoIt GBP Master GID=384",11111,01:08:04:48,11.5,3h 41m,88.2,5.66,15.6,6.708,-88.2,-37.926,15.0,89.6,-10.80,-4.64
,970449411,18/06/2025 19:03,20/06/2025 03:07,GBPUSD,Buy,0.050,1.34807,0.00000,1.34758,1.34807,0.0000,-0.9700,4.9,1.16,0.04,"DoIt GBP Master GID=384",11111,01:08:04:48,11.5,3h 41m,88.1,5.61,15.7,6.7509999999999994,-88.1,-37.882999999999996,15.1,89.6,-10.80,-4.64
